X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
14,10,0,0,-68,0,0,0,-73,-76,0,-74,0,0,0,-73,0,0,-73,-80,-83,-73
14,10,1,0,-63,0,0,0,0,-86,0,-84,0,0,0,0,0,0,-85,-84,-83,0
14,10,2,0,-60,0,0,0,0,-86,0,-84,0,0,0,0,0,0,-85,-84,-83,0
14,10,3,0,-58,0,0,0,0,-86,0,-84,0,0,0,0,0,0,-85,-79,-83,0
15,10,0,0,-61,0,0,0,0,-82,0,-84,0,0,0,0,0,0,-85,-75,-83,0
15,10,1,0,-61,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-76,-83,0
15,10,2,0,-59,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-76,-83,0
15,10,3,0,-55,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-76,-83,0
16,10,0,0,-59,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-78,-83,0
16,10,1,0,-59,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-78,-83,0
16,10,2,0,-57,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-77,0,0
16,10,3,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0
17,10,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0
17,10,1,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0
17,10,2,0,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0
17,10,3,0,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0
18,10,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0
18,10,1,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0
18,10,2,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0
18,10,3,0,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0
19,10,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0
19,10,1,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0
19,10,2,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0
